train_loss,test_loss,train_signal_noise_ratio,test_signal_noise_ratio,train_scale_invariant_signal_noise_ratio,test_scale_invariant_signal_noise_ratio
2.727230440486561,-1.0460119664669036,-3.966012727130543,-0.8163476273417473,-13.524071796373887,-5.292904734611511
-1.3187096064740962,-2.2589258193969726,-1.3839436755938963,-0.9315109461545944,-5.628663516857407,-3.7157824337482452
-2.2976821010762993,-3.2169347047805785,-0.5031121617013757,0.3477418884634972,-3.683107104491104,-1.514810775220394
-2.8615422682328657,-3.2401362538337706,-0.11654895340854471,0.5619675263762474,-2.2373887937177313,-1.0897133186459542
-3.443003361875361,-3.343354368209839,0.2757182934067466,0.9481013029813766,-1.5763629959388212,-0.3636241346597672
-3.4991037412123247,-3.629171943664551,0.30726205625317315,0.7933727949857712,-1.3362312062897466,-0.33131287693977357
-4.317284952510487,-3.6162931084632874,0.6944473900578239,0.9575051307678223,-0.672089087692174,-0.16610321551561355
-3.851770184256814,-3.9088994741439818,0.5752027380195531,0.9438303261995316,-0.7491438483650034,-0.370987368747592
-3.8995530822060327,-4.507147407531738,0.703642643310807,0.49031995683908464,-0.4090689237822186,-0.8056974858045578
-4.126563294367357,-3.6858513832092283,0.4226530451666225,1.02523253262043,-0.9281221574003046,-0.18545265570282937
-4.553181084719571,-4.274675107002258,1.0851136364720084,0.9562315315008163,0.22230091961947354,-0.03645843490958214
-4.135056712410667,-3.445439687371254,1.096332308920947,0.8036887675523758,0.1786953021179546,-0.40362274646759033
-4.3779637163335625,-4.016037058830261,1.2110735150900753,0.9086768880486489,0.12579244442961432,-0.18398258537054063
